redshift,0,1,2,3,4,5
8.0,1.3410987999365706e-08,7.551996753312325e-07,1.602391382432094e-05,0.00016007717426815858,0.0007284561623906152,0.0015196218955106744
7.8,3.228484624552099e-08,1.596107153802872e-06,3.1005651560747e-05,0.0002885122700501975,0.0012630452241466424,0.002595862427578436
7.6,7.053444683207774e-08,3.157302648624929e-06,5.64974974501669e-05,0.0004865381125321142,0.002031160357063741,0.004094305962502038
7.4,1.314232451323223e-07,5.448815988561464e-06,9.050354514030361e-05,0.0007179085593242625,0.002829606558142357,0.0055612058392138265
7.2,2.2189967922372315e-07,8.660550088717836e-06,0.0001346503697341838,0.000981568396165328,0.003613287297991541,0.00687110020031502
7.0,3.5387838297995846e-07,1.311496083710899e-05,0.00019225375455115442,0.0012871117684526596,0.004372368634775541,0.007962130175900396
6.8,5.38877083578927e-07,1.9029191289369534e-05,0.0002651013525434839,0.0016389516836851433,0.00510039929371157,0.008801359617858766
6.6,7.812748563876273e-07,2.624769211831892e-05,0.0003502855021553488,0.0020261249488866422,0.0058002065164000595,0.009438390275858069
6.4,1.097130605755547e-06,3.468443667962981e-05,0.0004444969956091236,0.0024350022669048753,0.006475898381845973,0.009938499081495968
6.2,1.533073407537787e-06,4.466918348352783e-05,0.0005468738896423376,0.0028562800335201655,0.007122083937213177,0.010328792437076226
6.0,2.166864666288075e-06,5.687745965160048e-05,0.0006580471967757247,0.0032820762529929288,0.0077275495108004985,0.01061935112056252
5.8,3.1061694614662227e-06,7.228251258708872e-05,0.000779878883177833,0.003706560940087726,0.008283272541970907,0.01082327217578325
5.6,4.513992841741267e-06,9.238326932665382e-05,0.0009166228899483231,0.004128267414472474,0.008780293175797283,0.010944351345954357
5.4,6.628335535158113e-06,0.00011929479678778595,0.0010755785253222794,0.004553254539756123,0.009215055408618493,0.010980420231433525
5.2,9.914325164641695e-06,0.00015723611423480548,0.0012769486293963696,0.005033340871578969,0.009671930670641208,0.011034827423092053
5.0,1.561974962350358e-05,0.00021789728774078825,0.0015835298837711125,0.0057541448232893205,0.010462109487937535,0.011453451085314523
4.8,2.5623856565100074e-05,0.00031538929232300837,0.0020577095022064947,0.006871054805910743,0.011811303342136342,0.012461503455141828
4.6,4.160386377519443e-05,0.0004528037362594255,0.0026717731237392442,0.008219757379551475,0.013374860686207718,0.01365453404521419
4.4,6.58259469928673e-05,0.0006309988696226728,0.003376899552394391,0.00959219914807693,0.014773341170234846,0.014610933037867263
4.2,0.0001020252473646492,0.0008567620464263848,0.0041551458360027434,0.010908201120624895,0.015899415582382254,0.015246337590458662
4.0,0.00015507342708372186,0.001138390421759382,0.004997753461827007,0.012140308706425545,0.016756726144927594,0.015595191890154975
3.8,0.00023261003543241062,0.0014907544225346517,0.005911648956244955,0.01329046448572485,0.017373153597481414,0.015687667936290235
3.60974551542,0.00035427891415875794,0.0019743773113004262,0.007020828077001681,0.014525516525847892,0.017908287175041736,0.01564390227402874
3.4370612642,0.0005554247260753031,0.002703161968572778,0.008576128128829161,0.016196130512951518,0.01868814269678671,0.015702602674003086
3.27947248443,0.0008594105222857392,0.003713827090026,0.010594738001275346,0.018289068936854138,0.019717228912648366,0.01588748546354683
3.13495804215,0.0012551449892002433,0.004892825246785914,0.012728807225046861,0.02029855302931167,0.020595682755880165,0.015965666419146908
3.001851228,0.001724629538708927,0.006124721159128689,0.014693120557273856,0.021875460024475404,0.02108075420714463,0.015816996127276144
2.87876438709,0.002269077602848311,0.007390630004361382,0.016457099915255197,0.02302953973517485,0.021224203842621046,0.015495238302392784
2.76453143062,0.0029157603877564674,0.008762868735097079,0.018169367739427414,0.02393031624757923,0.021115717750875822,0.0150166305837766
2.65816493354,0.003688022967562555,0.01029014794299141,0.01992985828200597,0.024692287279719723,0.020798942244987087,0.014373593984920188
2.55882363238,0.0045570863694451074,0.011879890541662889,0.021592581521738177,0.0252309738034158,0.020296592361417242,0.01363076222650503
2.46578327875,0.005489339970194557,0.013438670206487535,0.0230385325010141,0.025523289482658862,0.01969330971532521,0.012887575411950897
2.37841948425,0.006477912663612243,0.014955445978910829,0.02429839672465821,0.025659232102980635,0.019075702498741395,0.012195450304807016
2.29618993046,0.007507832472973159,0.016449029835544804,0.025476760892494035,0.025793581782813046,0.01856724932814191,0.01162934457732743
2.21862128577,0.008543477170617325,0.017958462383113633,0.026770086227110138,0.02620571529733022,0.018379878267836908,0.011317351445602624
2.14529662952,0.009519036525996984,0.019456103996002918,0.02823658355964248,0.026980820121982427,0.018555792095544397,0.011265987932661875
2.07585074543,0.010408942118872319,0.020881815777920157,0.02973341566991436,0.027885308159619402,0.018865271860039702,0.011306181399197776
2.00995826518,0.01124309999057724,0.022204101440601302,0.031094397909350598,0.028669570947913905,0.0191046129038905,0.01131621811531847
1.94733080112,0.012035646402101028,0.023406795449312966,0.03226032844921193,0.029274246332571772,0.01924977413694014,0.011290742897936972
1.88771248339,0.012785478463744011,0.02450987593774743,0.03328965744648497,0.029770549543487835,0.01933259992251888,0.011228363961832539
1.83087228974,0.013451139806460925,0.025424659407995515,0.03405434125160147,0.03003211512193321,0.01925706936495434,0.011071960096129407
1.77660356763,0.013911788213083384,0.02593038259594501,0.03424269002095908,0.02976305295549503,0.01883896183601146,0.010729240640599026
1.72472077029,0.014116655560809778,0.02598279575779583,0.03383868675478478,0.02897051634525613,0.018084024390781474,0.01019616687114169
1.67505484552,0.014155464407801835,0.02575684700861509,0.033126227320637136,0.02796040426350063,0.017195445173696103,0.009573581500302995
1.62745537324,0.014149680597544128,0.025438542323505075,0.03232132316398951,0.02692439769972151,0.016313305999620373,0.00895183454539191
1.58178286206,0.014139499188800331,0.02511281241044401,0.031501900111752926,0.025877181861414373,0.015451956133116862,0.008369066552612752
