t0,a,m1,m2,nu0,M_ch,K,nu_max,Dt_max
8651.24,6.85602,0.420058,0.346048,4.871685699864145e-06,0.33159623401026167,5.846277184112454e-07,0.009108596281849448,2980011.9491016655
8480.85,1.8541,0.28625,0.291121,3.0072580493010976e-05,0.25130459209511496,3.6829638885075974e-07,0.0074801936029194474,36891.18557892268
6863.49,0.663836,0.256915,0.2502,0.0001315542766824656,0.2207114015737307,2.9664568407925736e-07,0.006462106249000639,894.7685894301543
2166.69,2.83386,0.322918,0.373362,1.7477017342157064e-05,0.3021180249103176,5.00600348704407e-07,0.008454852510987805,115390.86160467908
1758.72,7.71541,0.533698,0.42598,4.567380556120616e-06,0.41455844146955073,8.482157999278614e-07,0.011606206829578674,2439438.5635730657
3590.48,0.444104,0.282171,0.289825,0.00025533621261711336,0.24894897055917406,3.6256063121614703e-07,0.007357149033944596,124.88377985259001
6427.34,10.8836,0.388052,0.393334,2.459896862272973e-06,0.3401086861925255,6.098545840355346e-07,0.010565734009733386,17670035.327534873
4439.85,9.29093,0.416246,0.399768,3.187153397202686e-06,0.3551038152163496,6.553233615103969e-07,0.01091845345237742,8242239.160518721
2567.5,1.5688,0.312957,0.626351,4.928282371075815e-05,0.38090779724649787,7.365968508059754e-07,0.00788719927085547,4941.097817879812
10186.0,83.3021,0.441697,0.475076,1.2583166000924322e-07,0.39873114657797687,7.949326878575318e-07,0.012285594200086215,37595738045.81421
1645.5,0.782193,0.790979,0.258287,0.00014794996141625005,0.381929655172092,7.398932312762898e-07,0.006310115252333417,262.26915107006954
3207.03,1.58479,0.308941,0.318911,3.968386845944021e-05,0.2732471066397619,4.234375547334719e-07,0.00812595070666325,15316.108407944217
13343.9,0.325479,0.17417,0.214114,0.0003352997515252618,0.16793497387306225,1.8811871555342424e-07,0.0043697175373526645,116.28566088387721
12398.8,4.33861,0.423873,0.304731,9.437626803186143e-06,0.3120276814496499,5.282651485994052e-07,0.007815163589178796,565487.0625293949
5072.5,8.32084,0.40371,0.386788,3.7012001805520635e-06,0.3439896250981956,6.214969381904871e-07,0.010497212250711794,5832967.818638682
1890.78,2.5884,0.769538,0.324346,2.5094670168669637e-05,0.4271190245096184,8.914800176692449e-07,0.00815582579799901,24693.335750167647
1137.17,1.22933,0.457726,0.510991,7.21503901928518e-05,0.4208932061868055,8.699279392203602e-07,0.012800348204022332,1513.986139981819
12507.6,4.02974,0.326801,0.312243,9.873992319275589e-06,0.2780734341275343,4.3597600444837925e-07,0.008212528400593161,607386.8973919987
155.784,0.898111,0.888399,0.579014,0.00014220802380345137,0.6215381674499426,1.6658776107171393e-06,0.017046886376795606,129.45937378946172
10170.0,25.1475,0.414036,0.415596,7.216779994117868e-07,0.36111753637517824,6.739241991160868e-07,0.011425128286027472,420773596.08449984
7845.46,50.8661,0.518547,0.460242,2.724863945417379e-07,0.4251349491799021,8.845887952814693e-07,0.012878442023406883,4304418400.005302
750.173,2.15444,0.742657,0.575563,3.627732754667384e-05,0.5682390931854963,1.4346587145867494e-06,0.01710579576921365,5742.9192557019105
1677.39,40.5029,0.708147,0.561171,4.3671587923153216e-07,0.5480461053368915,1.3506990032920903e-06,0.01654432544829665,801345073.7086917
1932.63,3.93379,0.700115,0.355532,1.3157868585443253e-05,0.4294623572084566,8.996465638991813e-07,0.009119844004048295,136880.6474094598
2456.58,0.371454,0.322694,0.259472,0.0003367509297548234,0.2516051152642951,3.690307282089975e-07,0.006611711402007188,58.64098720278827
601.624,0.552998,0.494961,0.660182,0.000261141249654273,0.49660792463896763,1.1460920384316023e-06,0.013941383834591628,37.21150672307565
2090.37,0.940197,0.238744,0.340511,8.341603592513423e-05,0.24743675355688122,3.588975012445039e-07,0.00599061959619742,2492.305856376871
81.0942,1.32498,0.888407,0.958233,8.902665965635589e-05,0.8031069962764963,2.553597445312315e-06,0.035740014375348926,294.46662502718453
